127.0.0.1 - - [03/Oct/2024:10:09:19 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:23 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:23 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:23 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:24 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:24 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:24 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:24 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:24 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:24 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:09:24 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:11:13 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:11:13 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:11:13 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
