127.0.0.1 - - [12/Nov/2024:12:15:20 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:15:24 +0530] "GET /ShopManagement/ HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:15:25 +0530] "GET /ShopManagement/style.css HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:15:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:15:31 +0530] "GET /ShopManagement/login.jsp HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:15:56 +0530] "POST /ShopManagement/login HTTP/1.1" 200 19134
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:16:04 +0530] "GET /ShopManagement/logout? HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:17:25 +0530] "GET /ShopManagement/logout? HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:17:44 +0530] "GET /ShopManagement/logout? HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:17:48 +0530] "GET /ShopManagement/login.jsp HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:18:17 +0530] "GET /ShopManagement/login.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:18:25 +0530] "GET /ShopManagement/register.jsp HTTP/1.1" 200 3465
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:18:47 +0530] "GET /ShopManagement/register.jsp HTTP/1.1" 200 3465
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:18:50 +0530] "GET /ShopManagement/register.jsp HTTP/1.1" 200 3465
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:18:54 +0530] "GET /ShopManagement/register.jsp HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:19:00 +0530] "GET /ShopManagement/index.jsp HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:19:30 +0530] "GET /ShopManagement/adminLogin.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:20:14 +0530] "GET /ShopManagement/adminLogin.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:20:31 +0530] "POST /ShopManagement/adminLogin HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:22:57 +0530] "GET /ShopManagement/viewData.jsp HTTP/1.1" 200 8987
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:08 +0530] "GET /ShopManagement/viewData.jsp HTTP/1.1" 200 8987
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:13 +0530] "GET /ShopManagement/adminHome.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:16 +0530] "GET /ShopManagement/addData.jsp HTTP/1.1" 200 5314
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:20 +0530] "GET /ShopManagement/adminHome.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:24 +0530] "GET /ShopManagement/removeData.jsp HTTP/1.1" 200 12577
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:32 +0530] "GET /ShopManagement/adminHome.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:37 +0530] "GET /ShopManagement/updateData.jsp HTTP/1.1" 200 21138
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:44 +0530] "GET /ShopManagement/adminHome.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:45 +0530] "GET /ShopManagement/logout HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:23:58 +0530] "GET /ShopManagement/login.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:24:06 +0530] "POST /ShopManagement/login HTTP/1.1" 200 19134
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:26:29 +0530] "POST /ShopManagement/login HTTP/1.1" 200 19419
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /ShopManagement/logout? HTTP/1.1" 200 442
